Base Case
RunNumber, numStaffA, numStaffB, dispMeth: numBasicSrv, numBasicLW, BasicSL; numPremiumSrv, numPremiumLW, PremiumSL; numType1and2Srv, numType1and2LW, Type1and2SL; numType3and4Srv, numType3and4LW, Type3and4SL; OverallSL; overtmStaffA, overtmStaffB; CostEstimate
27, 9, 12, EQUAL_PRIORITY: 1869, 1869, 0.0; 4217, 4217, 0.0; 4017, 4017, 0.0; 2069, 2069, 0.0; 0.0; 4542.279752931223, 25365.476192591406; 7223.335593733606
28, 9, 12, EQUAL_PRIORITY: 1886, 1886, 0.0; 4148, 4148, 0.0; 3912, 3912, 0.0; 2122, 2122, 0.0; 0.0; 4285.10211145319, 27336.193768651603; 7267.450356793154
29, 9, 12, EQUAL_PRIORITY: 1855, 1855, 0.0; 4198, 4198, 0.0; 3952, 3952, 0.0; 2101, 2101, 0.0; 0.0; 4447.790559767323, 24319.65805706402; 7196.3503183890325
30, 9, 12, EQUAL_PRIORITY: 1825, 1825, 0.0; 4182, 4182, 0.0; 3869, 3869, 0.0; 2138, 2138, 0.0; 0.0; 3997.551680225253, 26335.683560642356; 7238.58295813821
1, 9, 13, EQUAL_PRIORITY: 1924, 1924, 0.0; 4414, 4414, 0.0; 4124, 4124, 0.0; 2214, 2214, 0.0; 0.0; 4233.19212779832, 27801.49039794864; 7647.002441451577
2, 9, 13, EQUAL_PRIORITY: 1890, 1890, 0.0; 4434, 4434, 0.0; 4135, 4135, 0.0; 2189, 2189, 0.0; 0.0; 5721.881843600364, 26806.70720215286; 7645.764240013022
3, 9, 13, EQUAL_PRIORITY: 1842, 1842, 0.0; 4345, 4345, 0.0; 3929, 3929, 0.0; 2258, 2258, 0.0; 0.0; 3702.5762870991894, 28696.731505676522; 7660.638675712688
4, 9, 13, EQUAL_PRIORITY: 1906, 1906, 0.0; 4406, 4406, 0.0; 4075, 4075, 0.0; 2237, 2237, 0.0; 0.0; 3872.0237105413544, 29806.768549033426; 7690.35126606217
5, 9, 13, EQUAL_PRIORITY: 1926, 1926, 0.0; 4414, 4414, 0.0; 4108, 4108, 0.0; 2232, 2232, 0.0; 0.0; 4335.3871846068505, 29075.385182973507; 7679.673130536721
6, 9, 13, EQUAL_PRIORITY: 1930, 1930, 0.0; 4406, 4406, 0.0; 4127, 4127, 0.0; 2209, 2209, 0.0; 0.0; 4313.818107705651, 26336.986053530185; 7612.509344639931
