Base Case
RunNumber, numStaffA, numStaffB, dispMeth: numBasicSrv, numBasicLW, BasicSL; numPremiumSrv, numPremiumLW, PremiumSL; numType1and2Srv, numType1and2LW, Type1and2SL; numType3and4Srv, numType3and4LW, Type3and4SL; OverallSL; overtmStaffA, overtmStaffB; CostEstimate
26, 9, 11, EQUAL_PRIORITY: 3506, 3307, 0.05675984027381631; 7986, 7917, 0.008640120210368196; 7477, 7252, 0.0300922830012037; 4015, 3972, 0.010709838107098357; 0.023320570831883103; 8419.784053234469, 44008.52441748891; 6767.1618709824825
27, 9, 11, EQUAL_PRIORITY: 3551, 3371, 0.050689946493945315; 8083, 8044, 0.004824941234690128; 7658, 7481, 0.02311308435622883; 3976, 3934, 0.010563380281690127; 0.01882413615265599; 8107.345113416305, 50361.237532059065; 6842.262414215252
28, 9, 11, EQUAL_PRIORITY: 3521, 3270, 0.07128656631638741; 7897, 7859, 0.004811953906546762; 7404, 7177, 0.03065910318746623; 4014, 3952, 0.015445939212755389; 0.025310912594149637; 8016.70529802154, 47852.42656441723; 6810.947567526686
29, 9, 11, EQUAL_PRIORITY: 3534, 3354, 0.05093378607809851; 7964, 7919, 0.005650426921145146; 7560, 7380, 0.023809523809523836; 3938, 3893, 0.011427120365667842; 0.019568620629674682; 8215.263791219499, 47175.06374318266; 6804.218592869702
30, 9, 11, EQUAL_PRIORITY: 3564, 3363, 0.056397306397306446; 8010, 7945, 0.00811485642946319; 7538, 7328, 0.02785884850092868; 4036, 3980, 0.013875123885034646; 0.022982547088301386; 8837.686141722437, 50049.93900501016; 6844.115279431608
1, 9, 12, EQUAL_PRIORITY: 3666, 3370, 0.08074195308237864; 8375, 8264, 0.013253731343283559; 7778, 7449, 0.042298791463101004; 4263, 4185, 0.018296973961998586; 0.03380117930404447; 7872.139166750648, 53082.85853113189; 7242.652624438073
2, 9, 12, EQUAL_PRIORITY: 3718, 3409, 0.08310919849381393; 8381, 8327, 0.006443145209402257; 7874, 7579, 0.03746507493014983; 4225, 4157, 0.01609467455621305; 0.030002479543763894; 7784.6446150824095, 54859.14891704603; 7263.650555235426
3, 9, 12, EQUAL_PRIORITY: 3539, 3352, 0.0528397852500706; 8474, 8413, 0.007198489497285854; 7740, 7542, 0.025581395348837188; 4273, 4223, 0.011701380762930036; 0.020644302006159965; 7821.063414426489, 51902.9235204131; 7227.859378902389
4, 9, 12, EQUAL_PRIORITY: 3688, 3460, 0.061822125813449036; 8370, 8329, 0.004898446833930703; 7866, 7652, 0.027205695397915064; 4192, 4137, 0.013120229007633544; 0.022308840603748603; 8272.848141577548, 51317.89776877005; 7224.216625059699
5, 9, 12, EQUAL_PRIORITY: 3699, 3435, 0.07137064071370636; 8373, 8288, 0.010151678012659704; 7843, 7569, 0.034935611373199005; 4229, 4154, 0.017734689051785324; 0.028909874088800525; 9036.136183155977, 52460.405581746876; 7244.064336194547
6, 9, 12, EQUAL_PRIORITY: 3655, 3427, 0.062380300957592394; 8387, 8334, 0.0063193036842732475; 7751, 7528, 0.02877048122822856; 4291, 4233, 0.013516662782568134; 0.023334994187012126; 8193.38945079705, 56206.343916946505; 7283.252448308193
7, 9, 12, EQUAL_PRIORITY: 3699, 3409, 0.07839956745066234; 8459, 8411, 0.0056744296016078; 7919, 7655, 0.03333754261901756; 4239, 4165, 0.017456947393253097; 0.027800625102813004; 8734.481748443699, 50782.03723275235; 7221.2500154768995
8, 9, 12, EQUAL_PRIORITY: 3629, 3387, 0.0666850372003307; 8448, 8324, 0.014678030303030276; 7787, 7510, 0.03557210735841787; 4290, 4201, 0.020745920745920743; 0.030305539455162678; 8540.297292535492, 49405.6706062482; 7202.952447756577
9, 9, 12, EQUAL_PRIORITY: 3509, 3285, 0.06383585066970643; 8478, 8361, 0.013800424628450103; 7725, 7483, 0.031326860841424; 4262, 4163, 0.023228531206006542; 0.028447484775173115; 8459.8300013304, 50609.77080715464; 7217.022673549979
10, 9, 12, EQUAL_PRIORITY: 3681, 3420, 0.07090464547677267; 8367, 8306, 0.007290546193378766; 7821, 7573, 0.031709500063930474; 4227, 4153, 0.017506505796072824; 0.02672642762284194; 7886.943038919149, 49734.24697659615; 7201.906144360815
11, 9, 12, EQUAL_PRIORITY: 3634, 3445, 0.052008805723720464; 8380, 8326, 0.00644391408114553; 7736, 7554, 0.023526370217166526; 4278, 4217, 0.014258999532491767; 0.020226402530381216; 8224.795326508625, 51409.76179921699; 7224.965747695572
12, 9, 12, EQUAL_PRIORITY: 3633, 3413, 0.06055601431323976; 8440, 8358, 0.009715639810426557; 7849, 7612, 0.0301949292903555; 4224, 4159, 0.015388257575757569; 0.025014495154476957; 8524.064760827321, 53082.68217465108; 7247.695134804228
